 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,MinThr,MaxThr
17,C2-Composite.tif,3967,255,255,255,689.557,26.19,689.557,26.19,288.593,80.088,63.067,171.595,87.727,1011585,1011585,647,0,133.152,67,0,0
18,C2-Composite.tif,3892,255,255,255,2526.93,29.601,2526.93,29.601,339.848,79.266,62.517,3.026,99.282,992460,992460,2476,44,26.307,64,0,0
19,C2-Composite.tif,1253,255,255,255,2890.721,12.112,2890.721,12.112,157.539,53.518,29.81,176.471,58.694,319515,319515,2860,0,171.18,30,0,0
20,C2-Composite.tif,1912,255,255,255,3238.619,20.885,3238.619,20.885,205.38,68.931,35.317,1.512,68.884,487560,487560,3204,10,170.811,37.142,0,0
21,C2-Composite.tif,2058,255,255,255,1776.624,51.585,1776.624,51.585,199.179,60.843,43.067,157.685,67.067,524790,524790,1745,42,159.944,43.821,0,0
22,C2-Composite.tif,4661,255,255,255,2617.534,67.468,2617.534,67.468,324.032,82.971,71.525,45.564,87.098,1188555,1188555,2574,77,12.6,73.046,0,0
23,C2-Composite.tif,2193,255,255,255,1897.925,62.993,1897.925,62.993,227.22,58.859,47.439,7.214,65.46,559215,559215,1869,76,18.712,50.235,0,0
24,C2-Composite.tif,6308,255,255,255,655.533,103.398,655.533,103.398,463.085,97.595,82.295,110.773,130.771,1608540,1608540,646,48,105.524,86.531,0,0
25,C2-Composite.tif,3322,255,255,255,1748.166,93.041,1748.166,93.041,234.635,69.844,60.559,118.039,73.437,847110,847110,1745,56,96.254,62.474,0,0
26,C2-Composite.tif,1427,255,255,255,786.883,87.833,786.883,87.833,161.581,53.129,34.198,65.943,55.543,363885,363885,774,113,66.666,36.879,0,0
27,C2-Composite.tif,1152,255,255,255,3677.489,87.711,3677.489,87.711,140.225,44.728,32.793,89.13,47.413,293760,293760,3670,110,62.354,32,0,0
28,C2-Composite.tif,1955,255,255,255,3715.416,94.376,3715.416,94.376,192.752,56.615,43.967,122.572,64.405,498525,498525,3693,68,126.158,49,0,0
29,C2-Composite.tif,1131,255,255,255,748.041,98.344,748.041,98.344,156.267,39.821,36.163,167.806,47.434,288405,288405,729,112,55.305,42.029,0,0
30,C2-Composite.tif,2515,255,255,255,1880.218,106.677,1880.218,106.677,218.007,65.684,48.752,159.375,70.029,641325,641325,1847,105,178.363,49.811,0,0
31,C2-Composite.tif,1920,255,255,255,827.535,104.429,827.535,104.429,184.309,59.658,40.978,121.828,63.008,489600,489600,809,78,125.961,44.33,0,0
32,C2-Composite.tif,2872,255,255,255,2735.005,122.413,2735.005,122.413,286.333,84.503,43.274,54.632,91.285,732360,732360,2711,162,65.4,47.576,0,0
33,C2-Composite.tif,1823,255,255,255,537.21,124.154,537.21,124.154,308.693,70.407,32.967,115.332,104.101,464865,464865,490,94,121.247,54.575,0,0
34,C2-Composite.tif,3645,255,255,255,3646.733,136.027,3646.733,136.027,289.99,76.605,60.583,29.665,87.556,929475,929475,3611,144,13.878,65.793,0,0
35,C2-Composite.tif,4091,255,255,255,496.583,148.234,496.583,148.234,286.534,82.726,62.965,71.903,89.471,1043205,1043205,473,187,62.003,70.029,0,0
36,C2-Composite.tif,1106,255,255,255,744.106,128.259,744.106,128.259,139.255,45.283,31.098,6.462,47.508,282030,282030,727,112,149.657,33.812,0,0
37,C2-Composite.tif,2301,255,255,255,1142.347,150.472,1142.347,150.472,236.693,63.055,46.463,62.3,69.635,586755,586755,1124,179,54.941,50.262,0,0
38,C2-Composite.tif,2980,255,255,255,2104.026,166.422,2104.026,166.422,239.664,65.177,58.215,88.198,73.824,759900,759900,2099,203,65.171,61,0,0
39,C2-Composite.tif,1543,255,255,255,762.313,154.946,762.313,154.946,226.551,53.62,36.639,2.503,69.778,393465,393465,730,147,154.537,42.733,0,0
40,C2-Composite.tif,4419,255,255,255,2830.125,181.209,2830.125,181.209,308.375,82.137,68.501,26.68,92.763,1126845,1126845,2782,187,11.189,71.994,0,0
41,C2-Composite.tif,2040,255,255,255,3097.615,167.327,3097.615,167.327,251.463,56.451,46.011,34.904,63.127,520200,520200,3080,193,40.503,51.052,0,0
42,C2-Composite.tif,1830,255,255,255,2459.537,174.423,2459.537,174.423,186.51,49.705,46.877,29.942,58.189,466650,466650,2430,174,19.058,47.676,0,0
43,C2-Composite.tif,1182,255,255,255,2494.354,179.541,2494.354,179.541,187.238,51.051,29.479,96.288,57.585,301410,301410,2492,150,110.323,32.54,0,0
44,C2-Composite.tif,1205,255,255,255,3034.639,176.147,3034.639,176.147,163.38,46.38,33.08,124.87,47.539,307275,307275,3026,154,112.249,35.329,0,0
45,C2-Composite.tif,1927,255,255,255,1184.576,183.217,1184.576,183.217,182.409,51.529,47.615,125.552,58.6,491385,491385,1159,170,143.326,49,0,0
46,C2-Composite.tif,1118,255,255,255,3438.547,203.412,3438.547,203.412,153.681,43.179,32.967,176.761,45.695,285090,285090,3417,212,23.199,35.846,0,0
47,C2-Composite.tif,3626,255,255,255,1833.884,226.354,1833.884,226.354,265.22,78.88,58.529,167.387,87.207,924630,924630,1792,230,176.055,60.233,0,0
48,C2-Composite.tif,1392,255,255,255,1211.575,225.774,1211.575,225.774,158.853,45.412,39.028,118.429,50.606,354960,354960,1191,208,142.224,40.022,0,0
49,C2-Composite.tif,1808,255,255,255,2097.079,231.672,2097.079,231.672,208.693,49.223,46.767,41.555,56.921,461040,461040,2065,239,18.435,50.755,0,0
50,C2-Composite.tif,2270,255,255,255,2662.426,232.819,2662.426,232.819,222.066,60.258,47.965,108.614,76.007,578850,578850,2639,205,122.645,47,0,0
51,C2-Composite.tif,3248,255,255,255,2712.026,240.658,2712.026,240.658,312.392,67.744,61.046,115.583,77.621,828240,828240,2682,271,51.801,65.975,0,0
52,C2-Composite.tif,1555,255,255,255,3468.395,243.883,3468.395,243.883,183.38,59.117,33.491,129.785,62.241,396525,396525,3446,220,136.302,36.062,0,0
53,C2-Composite.tif,3650,255,255,255,2838.532,260.919,2838.532,260.919,304.291,84.016,55.315,160.871,94.578,930750,930750,2806,230,146.646,60.949,0,0
54,C2-Composite.tif,1530,255,255,255,3398.786,257.494,3398.786,257.494,168.066,51.118,38.109,79.524,51.478,390150,390150,3386,279,65.925,39.186,0,0
55,C2-Composite.tif,4891,255,255,255,762.373,272.766,762.373,272.766,333.605,90.615,68.724,9.144,107.224,1247205,1247205,710,278,19.618,70.94,0,0
56,C2-Composite.tif,2357,255,255,255,1725.867,265.799,1725.867,265.799,221.078,60.528,49.581,178.193,68.184,601035,601035,1688,261,175.795,51.786,0,0
57,C2-Composite.tif,2788,255,255,255,2474.758,277.971,2474.758,277.971,248.693,65.443,54.242,123.485,71.589,710940,710940,2461,310,77.905,58.307,0,0
58,C2-Composite.tif,1657,255,255,255,2523.189,282.421,2523.189,282.421,164.853,48.908,43.137,80.862,52.326,422535,422535,2509,306,63.925,42.647,0,0
59,C2-Composite.tif,2724,255,255,255,1812.365,323.244,1812.365,323.244,226.894,69.756,49.72,65.405,81.025,694620,694620,1787,355,54.545,50.982,0,0
60,C2-Composite.tif,1629,255,255,255,1697.941,321.391,1697.941,321.391,174.066,49.157,42.193,70.891,53.075,415395,415395,1675,340,42.709,43.213,0,0
61,C2-Composite.tif,4427,255,255,255,2730.803,357.02,2730.803,357.02,277.706,77.542,72.692,121.021,81.437,1128885,1128885,2694,343,155.323,73.67,0,0
62,C2-Composite.tif,1915,255,255,255,3548.461,356.943,3548.461,356.943,179.137,54.093,45.075,101.233,60.017,488325,488325,3549,324,100.561,47.75,0,0
63,C2-Composite.tif,2760,255,255,255,616.641,373.307,616.641,373.307,236.978,59.86,58.706,90.56,66.708,703800,703800,600,405,66.125,58.494,0,0
64,C2-Composite.tif,2308,255,255,255,1828.386,380.972,1828.386,380.972,250.108,61.589,47.714,168.834,86.128,588540,588540,1791,375,164.511,49,0,0
65,C2-Composite.tif,4795,255,255,255,330.88,420.411,330.88,420.411,343.304,86.014,70.979,52.876,100.955,1222725,1222725,306,464,56.31,71.683,0,0
66,C2-Composite.tif,4283,255,255,255,3572.529,419.973,3572.529,419.973,306.777,81.557,66.865,46.895,90.554,1092165,1092165,3536,455,30.53,76.012,0,0
67,C2-Composite.tif,1813,255,255,255,1108.672,405.127,1108.672,405.127,168.652,48.341,47.752,26.573,51.313,462315,462315,1094,383,123.071,48.076,0,0
68,C2-Composite.tif,1992,255,255,255,2593.054,409.401,2593.054,409.401,183.238,56.182,45.144,128.167,58.6,507960,507960,2585,383,115.253,47.704,0,0
69,C2-Composite.tif,1755,255,255,255,3022.189,419.257,3022.189,419.257,163.439,51.208,43.636,2.491,53.151,447525,447525,2995,420,175.684,43,0,0
70,C2-Composite.tif,3936,255,255,255,1589.021,430.434,1589.021,430.434,284.534,76.003,65.937,175.784,85.159,1003680,1003680,1550,421,170.538,66,0,0
71,C2-Composite.tif,2413,255,255,255,889.677,432.191,889.677,432.191,201.865,62.16,49.426,106.539,67.231,615315,615315,877,402,112.751,51.251,0,0
72,C2-Composite.tif,3440,255,255,255,1144.174,440.325,1144.174,440.325,300.475,97.696,44.832,22.632,103.73,877200,877200,1091,458,19.134,50.088,0,0
73,C2-Composite.tif,1048,255,255,255,2976.325,429.117,2976.325,429.117,136.51,38.264,34.872,85.233,40.311,267240,267240,2965,412,119.745,35.229,0,0
74,C2-Composite.tif,1988,255,255,255,981.377,444.81,981.377,444.81,201.664,57.896,43.72,148.447,60.166,506940,506940,968,417,111.448,45,0,0
75,C2-Composite.tif,2633,255,255,255,2646.753,472.901,2646.753,472.901,250.836,63.046,53.174,168.24,73.817,671415,671415,2636,501,54.372,59.834,0,0
76,C2-Composite.tif,1691,255,255,255,3019.462,461.912,3019.462,461.912,160.267,47.609,45.224,2.289,49.679,431205,431205,3003,479,49.899,45,0,0
77,C2-Composite.tif,2787,255,255,255,945.764,473.446,945.764,473.446,242.978,79.531,44.618,148.388,82.006,710685,710685,902,466,164.438,47.665,0,0
78,C2-Composite.tif,3619,255,255,255,2026.23,493.54,2026.23,493.54,295.362,78.176,58.942,11.57,92.347,922845,922845,1972,487,175.03,66.548,0,0
79,C2-Composite.tif,5660,255,255,255,1862.186,506.23,1862.186,506.23,355.789,96.988,74.303,28.39,107.042,1443300,1443300,1803,512,29.678,79.196,0,0
80,C2-Composite.tif,8747,255,255,255,467.14,528.247,467.14,528.247,479.571,108.93,102.24,56.83,121.202,2230485,2230485,442,583,56.441,105,0,0
81,C2-Composite.tif,2082,255,255,255,2084.519,509.707,2084.519,509.707,196.652,58.54,45.283,40.071,67.209,530910,530910,2060,531,43.191,49.157,0,0
82,C2-Composite.tif,1494,255,255,255,1202.173,512.2,1202.173,512.2,177.338,54.036,35.203,63.636,56.303,380970,380970,1184,535,56.592,39.83,0,0
83,C2-Composite.tif,2809,255,255,255,590.599,520.406,590.599,520.406,208.551,63.153,56.633,34.518,65.803,716295,716295,563,540,36.347,58.188,0,0
84,C2-Composite.tif,5099,255,255,255,1391.577,552.77,1391.577,552.77,395.446,82.885,78.328,109.671,119.52,1300245,1300245,1369,497,99.147,79.007,0,0
85,C2-Composite.tif,2213,255,255,255,1133.143,536.871,1133.143,536.871,209.38,56.378,49.979,49.956,62.169,564315,564315,1119,562,64.259,52.28,0,0
86,C2-Composite.tif,1703,255,255,255,1268.821,559.305,1268.821,559.305,183.823,52.049,41.66,149.969,57.489,434265,434265,1248,546,139.939,49.149,0,0
87,C2-Composite.tif,1607,255,255,255,2029.397,555.751,2029.397,555.751,165.782,52.616,38.887,160.946,56.851,409785,409785,2006,539,140.711,38.546,0,0
88,C2-Composite.tif,1971,255,255,255,954.877,570.109,954.877,570.109,209.664,53.168,47.201,156.334,64.008,502605,502605,932,556,151.032,48.79,0,0
89,C2-Composite.tif,5298,255,255,255,1677.613,582.908,1677.613,582.908,345.889,92.154,73.199,24.31,108.453,1350990,1350990,1639,606,32.957,78.456,0,0
90,C2-Composite.tif,2364,255,255,255,598.847,575.556,598.847,575.556,223.078,60.606,49.664,1.747,68.593,602820,602820,568,580,7.539,53,0,0
91,C2-Composite.tif,2042,255,255,255,1258.799,596.356,1258.799,596.356,199.238,56.486,46.028,166.269,61.465,520710,520710,1241,568,111.975,47.987,0,0
92,C2-Composite.tif,2409,255,255,255,909.025,607.12,909.025,607.12,218.492,59.791,51.299,108.012,69.462,614295,614295,910,640,83.387,53.759,0,0
93,C2-Composite.tif,1106,255,255,255,44.092,594.534,44.092,594.534,153.238,43.116,32.66,29.199,46.325,282030,282030,22,595,13.736,35.282,0,0
94,C2-Composite.tif,5040,255,255,255,1791.048,626.768,1791.048,626.768,367.345,81.766,78.481,133.267,97.622,1285200,1285200,1740,636,6.47,80.077,0,0
95,C2-Composite.tif,9478,255,255,255,1555.329,655.995,1555.329,655.995,508.139,135.746,88.9,47.814,148.408,2416890,2416890,1511,717,57.381,91.066,0,0
96,C2-Composite.tif,3427,255,255,255,178.214,658.439,178.214,658.439,256.735,69.126,63.122,139.411,74.33,873885,873885,154,626,132.274,65.249,0,0
97,C2-Composite.tif,1896,255,255,255,24.281,646.881,24.281,646.881,193.48,50.913,47.416,10.925,57.245,483480,483480,0,632,152.987,51.034,0,0
98,C2-Composite.tif,3398,255,255,255,464.895,658.311,464.895,658.311,303.99,77.275,55.988,179.98,79.12,866490,866490,426,645,159.274,60.185,0,0
99,C2-Composite.tif,4816,255,255,255,3491.777,667.982,3491.777,667.982,380.517,83.833,73.144,163.694,106.042,1228080,1228080,3441,693,20.999,75.596,0,0
100,C2-Composite.tif,4476,255,255,255,880.975,683.38,880.975,683.38,321.019,96.408,59.114,0.601,99.639,1141380,1141380,831,665,169.592,65.472,0,0
101,C2-Composite.tif,1832,255,255,255,800.672,706.31,800.672,706.31,261.563,66.722,34.96,146.12,102.083,467160,467160,750,680,150.673,40.912,0,0
102,C2-Composite.tif,1614,255,255,255,1392.884,704.208,1392.884,704.208,181.622,52.892,38.853,63.818,58.31,411570,411570,1378,731,59.036,41.503,0,0
103,C2-Composite.tif,1106,255,255,255,1475.692,708.754,1475.692,708.754,234.049,43.686,32.234,37.71,56.604,282030,282030,1458,730,32.005,41.801,0,0
104,C2-Composite.tif,3642,255,255,255,1766.728,727.466,1766.728,727.466,291.948,72.884,63.623,1.243,74.673,928710,928710,1730,720,172.304,66.488,0,0
105,C2-Composite.tif,1761,255,255,255,744.59,738.424,744.59,738.424,214.794,50.841,44.101,119.808,70.456,449055,449055,735,705,124.592,48.534,0,0
106,C2-Composite.tif,2724,255,255,255,2787.414,744.967,2787.414,744.967,219.664,62.799,55.228,171.792,66.098,694620,694620,2756,730,162.387,57,0,0
107,C2-Composite.tif,2902,255,255,255,1437.356,752.151,1437.356,752.151,283.161,67.348,54.864,172.438,76.322,740010,740010,1401,768,21.523,58.518,0,0
108,C2-Composite.tif,2029,255,255,255,2623.272,750.581,2623.272,750.581,211.522,58.711,44.002,141.277,67.209,517395,517395,2599,727,133.191,46.343,0,0
109,C2-Composite.tif,6003,255,255,255,3365.892,767.211,3365.892,767.211,428.458,97.889,78.081,13.547,117.239,1530765,1530765,3317,767,171.663,81.049,0,0
110,C2-Composite.tif,2186,255,255,255,2859.354,758.468,2859.354,758.468,194.208,56.074,49.636,147.966,60.539,557430,557430,2828,753,149.199,51.925,0,0
111,C2-Composite.tif,3907,255,255,255,423.779,781.365,423.779,781.365,257.078,72.056,69.038,19.134,75.007,996285,996285,396,805,47.161,69.953,0,0
112,C2-Composite.tif,4477,255,255,255,3176.63,793.502,3176.63,793.502,419.227,89.596,63.622,39.909,93.814,1141635,1141635,3147,827,35.893,67.386,0,0
113,C2-Composite.tif,3640,255,255,255,756.665,794.412,756.665,794.412,309.563,74.798,61.961,120.293,86.052,928200,928200,726,760,128.868,64.051,0,0
114,C2-Composite.tif,4689,255,255,255,1482.679,822.876,1482.679,822.876,349.99,94.18,63.392,90.908,105.171,1195695,1195695,1476,764,93.27,64.087,0,0
115,C2-Composite.tif,2565,255,255,255,3087.456,801.014,3087.456,801.014,204.936,67.328,48.507,57.068,68.007,654075,654075,3073,832,72.897,49.646,0,0
116,C2-Composite.tif,4548,255,255,255,3644.751,813.584,3644.751,813.584,311.789,79.937,72.441,128.342,82.298,1159740,1159740,3609,794,152.501,73.56,0,0
117,C2-Composite.tif,1780,255,255,255,2615.647,801.02,2615.647,801.02,174.794,52.679,43.022,55.255,56.294,453900,453900,2610,829,77.692,45.221,0,0
118,C2-Composite.tif,1003,255,255,255,712.79,796.286,712.79,796.286,142.125,40.254,31.725,68.665,45.343,255765,255765,693,808,41.424,34,0,0
119,C2-Composite.tif,2164,255,255,255,2816.42,802.854,2816.42,802.854,201.137,63.291,43.534,22.478,63.82,551820,551820,2791,821,35.433,44.254,0,0
120,C2-Composite.tif,1645,255,255,255,2041.371,820.771,2041.371,820.771,210.492,49.163,42.603,73.35,56.321,419475,419475,2043,790,96.116,45.616,0,0
121,C2-Composite.tif,1931,255,255,255,2639.059,842.456,2639.059,842.456,216.25,51.591,47.656,28.732,62.008,492405,492405,2622,870,52.206,49.091,0,0
122,C2-Composite.tif,5463,255,255,255,189.206,885.458,189.206,885.458,386.032,92.089,75.533,111.901,111.893,1393065,1393065,163,836,118.856,77.181,0,0
123,C2-Composite.tif,2603,255,255,255,754.382,877.262,754.382,877.262,208.936,63.604,52.108,137.813,68.425,663765,663765,738,849,116.94,52.974,0,0
124,C2-Composite.tif,1665,255,255,255,1999.385,883.861,1999.385,883.861,177.137,54.786,38.695,14.76,59.908,424575,424575,1971,895,14.5,42.415,0,0
125,C2-Composite.tif,2312,255,255,255,669.96,888.908,669.96,888.908,196.108,56.011,52.556,15.945,60.407,589560,589560,645,876,160.665,54.027,0,0
126,C2-Composite.tif,2534,255,255,255,27.412,916.044,27.412,916.044,222.693,67.198,48.013,106.365,69.426,646170,646170,19,951,78.366,51.252,0,0
127,C2-Composite.tif,1356,255,255,255,742.702,922.463,742.702,922.463,156.267,49.287,35.03,10.235,52.393,345780,345780,720,932,23.629,38,0,0
128,C2-Composite.tif,2305,255,255,255,3305.665,959.566,3305.665,959.566,208.693,55.334,53.038,124.164,59.414,587775,587775,3283,938,136.364,53.43,0,0
129,C2-Composite.tif,1962,255,255,255,2618.516,977.328,2618.516,977.328,226.735,53.305,46.865,153.386,59.775,500310,500310,2594,961,162.474,48.57,0,0
130,C2-Composite.tif,2396,255,255,255,2208.515,990.853,2208.515,990.853,222.149,65.726,46.415,43.705,65.46,610980,610980,2195,1022,55.582,50.092,0,0
131,C2-Composite.tif,2322,255,255,255,2703.887,999.778,2703.887,999.778,235.078,71.119,41.57,106.729,71.568,592110,592110,2695,964,105.396,44.513,0,0
132,C2-Composite.tif,2489,255,255,255,1041.78,997.455,1041.78,997.455,208.108,59.32,53.424,88.469,62.29,634695,634695,1036,1030,84.472,55,0,0
133,C2-Composite.tif,5110,255,255,255,1480.484,1010.487,1480.484,1010.487,340.919,85.062,76.488,170.595,92.801,1303050,1303050,1438,981,142.883,80.015,0,0
134,C2-Composite.tif,2020,255,255,255,2290.178,1015.213,2290.178,1015.213,200.693,63.873,40.267,79.309,66.611,515100,515100,2289,1051,82.235,42.625,0,0
135,C2-Composite.tif,3312,255,255,255,672.707,1021.68,672.707,1021.68,322.96,68.929,61.178,126.381,76.851,844560,844560,648,996,147.758,69,0,0
136,C2-Composite.tif,1206,255,255,255,2243.014,1013.618,2243.014,1013.618,145.48,42.016,36.546,125.825,47.096,307530,307530,2243,1038,86.348,37.477,0,0
137,C2-Composite.tif,2992,255,255,255,3039.715,1026.228,3039.715,1026.228,242.693,74.251,51.306,163.077,75.664,762960,762960,3002,1026,172.405,52.09,0,0
138,C2-Composite.tif,2386,255,255,255,2645.179,1025.212,2645.179,1025.212,230.35,74.487,40.785,168.357,76.026,608430,608430,2613,1004,153.435,45.388,0,0
139,C2-Composite.tif,3082,255,255,255,1372.697,1048.591,1372.697,1048.591,245.806,67.216,58.381,100.139,71.344,785910,785910,1372,1012,95.631,62.736,0,0
140,C2-Composite.tif,2183,255,255,255,3349.003,1051.097,3349.003,1051.097,239.522,56.408,49.275,163.644,72.18,556665,556665,3335,1075,47.246,55.892,0,0
141,C2-Composite.tif,3427,255,255,255,1016.658,1068.897,1016.658,1068.897,261.019,73.704,59.201,54.555,74.673,873885,873885,977,1073,7.696,61.032,0,0
142,C2-Composite.tif,1836,255,255,255,2264.377,1064.938,2264.377,1064.938,186.309,60.459,38.665,163.843,60.407,468180,468180,2234,1060,173.346,40.226,0,0
143,C2-Composite.tif,1133,255,255,255,2972.975,1082.266,2972.975,1082.266,128.711,42.381,34.039,23.29,43.681,288915,288915,2952,1087,15.945,34.785,0,0
144,C2-Composite.tif,2499,255,255,255,3057.973,1096.638,3057.973,1096.638,196.066,61.744,51.532,112.54,65.368,637245,637245,3036,1070,119.31,52.274,0,0
145,C2-Composite.tif,5703,255,255,255,2547.772,1119.948,2547.772,1119.948,407.831,98.787,73.505,71.187,107.424,1454265,1454265,2518,1169,65.821,87.654,0,0
146,C2-Composite.tif,1869,255,255,255,730.014,1126.624,730.014,1126.624,198.409,58.213,40.879,21.679,61.62,476595,476595,708,1151,41.711,42.752,0,0
147,C2-Composite.tif,3096,255,255,255,2369.719,1147.098,2369.719,1147.098,301.463,66.381,59.384,112.933,82.347,789480,789480,2341,1131,155.614,64,0,0
148,C2-Composite.tif,5618,255,255,255,2029.733,1166.419,2029.733,1166.419,375.203,88.616,80.719,16.767,107.898,1432590,1432590,1977,1191,34.426,82.522,0,0
149,C2-Composite.tif,1988,255,255,255,31.07,1159.498,31.07,1159.498,189.137,62.393,40.569,57.223,64.885,506940,506940,15,1186,61.46,42.539,0,0
150,C2-Composite.tif,2870,255,255,255,740.904,1171.238,740.904,1171.238,280.25,63.025,57.98,135.754,78.294,731850,731850,700,1162,155.072,60.05,0,0
151,C2-Composite.tif,1150,255,255,255,2927.558,1176.015,2927.558,1176.015,171.439,43.733,33.481,85.09,54.644,293250,293250,2917,1194,55.437,37.378,0,0
